depth,current,temp,air_temp,turbidity,rainfall,wind_speed,gust_speed,humidity,cloud,feels_like,dew_point,uv_index,is_night,condition,safe,safety_level,message
2.36,1.33,20.7,25.4,38,1.5,0.5,9.8,91,0,27.599999999999998,20.7,7,1,2,1,Moderate,Use caution – moderate flow rates in effect
0.61,1.21,33.2,36.1,54,4.3,4.5,12.6,96,11,37.6,30.3,9,0,0,0,Moderate,Swimming not advised due to weather conditions
0.78,0.29,20.3,20.8,39,2.1,23.0,26.9,69,89,22.2,17.8,6,1,2,1,Moderate,Conditions are safe for swimming
1.89,1.88,20.5,22.6,40,1.0,26.3,34.4,94,35,24.1,17.5,7,0,3,0,Danger,Swimming not advised due to weather conditions
3.93,0.92,30.5,34.3,34,11.6,17.7,26.0,81,12,37.9,30.7,8,0,0,0,Moderate,Swimming not advised due to weather conditions
1.78,1.91,33.3,36.199999999999996,20,3.0,10.3,13.600000000000001,80,99,39.99999999999999,31.1,6,0,3,0,Danger,Swimming not advised due to weather conditions
4.4,1.99,20.8,24.5,22,17.3,24.1,32.5,76,6,26.2,21.6,8,1,3,0,Danger,Swimming not advised due to weather conditions
1.09,1.08,23.3,26.2,69,10.6,8.3,17.4,63,35,27.7,23.9,5,0,1,0,Danger,Do not swim – high turbidity detected
4.13,0.31,26.9,27.0,62,6.8,26.9,35.099999999999994,98,0,29.7,24.0,8,0,1,0,Danger,Do not swim – high turbidity detected
0.83,1.1,26.1,30.1,49,17.5,1.5,10.4,80,74,33.800000000000004,27.1,2,1,0,0,Moderate,Swimming not advised due to weather conditions
1.16,0.51,24.1,29.1,58,4.4,31.5,32.0,71,73,32.9,23.5,7,1,1,0,Moderate,Swimming not advised due to weather conditions
1.18,1.33,25.4,26.5,32,0.4,34.1,44.0,76,72,27.7,21.2,2,0,3,0,Moderate,Swimming not advised due to weather conditions
2.17,1.2,32.9,33.3,34,10.1,1.6,1.9000000000000001,92,64,35.199999999999996,27.4,10,0,2,1,Moderate,Conditions are safe for swimming
2.07,1.68,28.0,28.3,5,0.1,2.6,9.5,64,94,31.3,22.6,6,0,2,0,Moderate,Swimming not advised due to weather conditions
3.53,0.82,23.4,24.4,5,15.4,21.2,23.5,99,31,24.599999999999998,21.3,6,1,1,0,Moderate,Swimming not advised due to weather conditions
2.4,1.68,24.3,28.4,9,0.5,27.7,33.6,82,78,31.5,23.8,10,0,3,0,Moderate,Swimming not advised due to weather conditions
2.97,1.96,28.5,31.7,55,11.7,12.2,17.299999999999997,83,78,33.3,27.2,2,0,3,0,Danger,Swimming not advised due to weather conditions
1.09,1.86,26.9,28.2,38,4.8,12.2,14.299999999999999,70,22,28.7,25.6,5,1,2,0,Danger,Swimming not advised due to weather conditions
1.23,0.76,32.6,35.0,36,0.9,6.7,7.1000000000000005,64,81,36.1,32.3,4,1,0,1,Moderate,Conditions are safe for swimming
2.34,0.49,25.1,27.6,49,1.9,3.2,8.0,81,55,31.1,21.9,0,1,3,0,Moderate,Swimming not advised due to weather conditions
0.84,1.23,33.8,36.5,60,3.3,21.6,25.3,83,1,39.5,34.4,7,0,2,0,Moderate,Swimming not advised due to weather conditions
4.08,1.07,27.4,27.9,42,3.8,8.5,11.2,96,27,28.0,24.6,6,1,1,0,Moderate,Swimming not advised due to weather conditions
0.98,1.79,28.3,31.7,22,0.5,18.8,24.700000000000003,67,39,33.4,29.2,8,0,1,0,Moderate,Swimming not advised due to weather conditions
3.08,1.18,25.0,29.9,37,0.0,7.9,11.600000000000001,63,93,30.599999999999998,26.8,7,0,3,1,Moderate,Conditions are safe for swimming
0.71,0.13,29.8,34.8,10,2.5,33.9,42.599999999999994,65,93,35.5,30.1,8,1,1,0,Moderate,Swimming not advised due to weather conditions
2.79,0.63,30.8,31.7,23,1.1,25.8,31.1,60,89,34.8,29.4,10,0,1,1,Safe,Conditions are safe for swimming
2.63,0.2,24.7,25.4,27,4.0,7.1,13.899999999999999,79,64,26.0,23.4,8,0,1,1,Safe,Conditions are safe for swimming
2.92,1.61,21.5,25.8,64,16.8,4.4,11.7,68,33,26.5,23.5,7,1,1,0,Danger,Do not swim – high turbidity detected
3.87,0.37,31.1,32.1,34,8.7,6.5,8.9,73,25,35.7,28.8,9,0,2,0,Moderate,Swimming not advised due to weather conditions
2.31,1.46,32.6,35.7,27,2.9,20.2,23.8,61,77,36.0,32.8,6,0,1,1,Moderate,Use caution – moderate flow rates in effect
1.83,1.49,29.7,30.5,33,3.4,26.0,31.7,88,37,33.5,25.7,10,0,0,1,Moderate,Use caution – moderate flow rates in effect
1.32,1.46,26.9,30.7,42,3.8,13.3,17.9,74,28,32.9,26.8,3,1,2,0,Moderate,Swimming not advised due to weather conditions
0.55,1.24,27.9,31.5,31,2.1,6.4,15.5,97,5,33.1,27.7,10,1,3,0,Moderate,Swimming not advised due to weather conditions
1.06,0.29,23.6,27.200000000000003,47,13.4,19.8,26.8,96,71,29.800000000000004,22.1,9,0,1,0,Moderate,Swimming not advised due to weather conditions
3.45,1.88,33.0,35.3,50,1.3,5.8,7.699999999999999,82,56,36.599999999999994,32.1,2,1,2,0,Danger,Swimming not advised due to weather conditions
2.02,1.51,22.9,26.799999999999997,30,2.0,13.9,19.3,70,37,28.199999999999996,23.4,1,0,1,0,Moderate,Swimming not advised due to weather conditions
1.4,0.96,22.0,22.9,56,2.7,32.0,35.6,81,25,23.0,18.2,6,0,4,0,Moderate,Swimming not advised due to weather conditions
1.09,0.89,21.2,26.2,53,1.8,10.8,14.8,78,61,27.0,23.4,7,0,0,0,Moderate,Swimming not advised due to weather conditions
3.6,0.96,27.3,29.5,42,7.2,3.6,6.9,98,2,31.0,26.4,1,1,3,0,Moderate,Swimming not advised due to weather conditions
4.42,1.7,32.1,34.1,61,1.3,8.1,14.8,67,53,35.5,29.8,2,0,1,0,Danger,Do not swim – high turbidity detected
3.38,1.63,33.8,36.8,50,8.9,13.9,20.6,80,13,38.0,31.2,6,1,0,0,Moderate,Swimming not advised due to weather conditions
1.33,0.15,22.5,25.4,64,6.1,31.9,38.1,70,1,26.9,23.3,3,0,1,0,Danger,Do not swim – high turbidity detected
3.6,0.79,32.1,33.2,28,0.6,19.8,29.700000000000003,82,95,34.900000000000006,31.1,8,1,2,0,Moderate,Swimming not advised due to weather conditions
2.11,0.51,29.0,31.1,30,3.7,6.0,8.7,70,69,34.800000000000004,28.6,3,0,0,1,Safe,Conditions are safe for swimming
2.72,1.34,31.6,32.6,31,11.5,30.6,36.6,71,52,33.300000000000004,26.9,9,0,1,0,Moderate,Swimming not advised due to weather conditions
2.58,0.19,22.3,26.0,55,0.5,27.0,27.7,70,39,27.7,20.3,10,0,2,0,Moderate,Swimming not advised due to weather conditions
4.3,0.85,33.4,34.1,60,1.2,1.1,3.7,94,80,36.1,29.7,1,0,2,0,Moderate,Swimming not advised due to weather conditions
0.93,0.24,30.2,32.7,47,4.6,16.1,16.900000000000002,96,43,36.6,30.7,2,0,0,0,Moderate,Swimming not advised due to weather conditions
4.17,0.36,33.3,35.5,51,0.5,33.5,41.1,90,20,38.5,30.6,5,1,0,0,Moderate,Swimming not advised due to weather conditions
2.46,0.52,33.8,38.5,51,0.2,20.6,30.6,85,84,40.4,35.2,4,0,0,0,Moderate,Swimming not advised due to weather conditions
4.2,1.95,33.2,35.6,43,3.0,18.3,24.700000000000003,73,30,37.1,31.4,1,0,2,0,Danger,Swimming not advised due to weather conditions
1.86,1.48,20.9,22.5,8,7.8,11.2,17.5,75,41,26.0,18.8,2,1,4,1,Moderate,Use caution – moderate flow rates in effect
0.5,0.45,25.4,30.099999999999998,43,0.0,1.8,2.7,75,55,31.2,26.5,8,0,1,0,Moderate,Swimming not advised due to weather conditions
3.45,0.55,21.5,23.3,34,9.6,25.0,30.9,60,52,27.3,19.6,0,0,2,1,Moderate,Conditions are safe for swimming
1.37,1.9,31.0,31.4,43,10.6,33.1,37.800000000000004,72,97,32.1,25.4,10,1,3,0,Danger,Swimming not advised due to weather conditions
3.1,1.25,27.2,28.4,61,1.2,6.5,14.3,65,4,28.599999999999998,22.5,0,0,3,0,Danger,Do not swim – high turbidity detected
4.48,0.43,25.5,29.3,66,28.0,31.4,36.0,72,88,31.7,25.0,1,0,3,0,Danger,Do not swim – high turbidity detected
1.56,0.35,32.4,37.199999999999996,46,8.3,22.9,28.4,93,87,38.199999999999996,35.2,10,0,0,0,Moderate,Swimming not advised due to weather conditions
2.63,1.93,21.5,26.0,44,10.7,18.1,27.200000000000003,62,55,28.6,21.8,0,1,1,0,Danger,Swimming not advised due to weather conditions
3.97,0.57,22.2,23.0,17,9.1,24.4,31.2,86,37,23.8,17.5,9,0,0,0,Moderate,Swimming not advised due to weather conditions
3.8,0.34,24.7,28.4,35,0.0,19.5,27.1,71,38,29.2,26.1,10,0,1,0,Moderate,Swimming not advised due to weather conditions
0.96,0.82,20.1,24.200000000000003,34,0.1,15.1,23.5,87,59,24.900000000000002,19.2,5,1,0,1,Moderate,Conditions are safe for swimming
3.58,1.9,22.3,26.2,21,4.4,12.1,18.3,77,49,30.2,21.5,3,0,0,0,Danger,Swimming not advised due to weather conditions
3.53,0.15,20.3,21.900000000000002,36,7.4,23.9,28.4,93,28,25.700000000000003,19.5,8,0,1,0,Moderate,Swimming not advised due to weather conditions
3.8,0.67,31.8,35.7,26,0.7,30.4,40.0,87,92,39.5,32.0,10,1,1,0,Moderate,Swimming not advised due to weather conditions
1.6,1.97,25.7,30.2,19,6.8,7.0,15.7,83,11,32.5,26.3,10,1,0,0,Danger,Swimming not advised due to weather conditions
1.31,0.27,22.2,24.5,54,7.2,21.9,23.2,83,59,28.4,21.8,8,1,0,0,Moderate,Swimming not advised due to weather conditions
1.0,1.4,26.0,27.0,64,0.3,20.4,23.099999999999998,83,71,28.2,23.2,7,0,0,0,Danger,Do not swim – high turbidity detected
2.07,1.01,28.4,29.9,49,7.1,33.3,42.4,70,85,32.9,27.3,8,1,0,0,Moderate,Swimming not advised due to weather conditions
2.5,1.27,29.8,32.6,36,14.2,2.5,7.8,72,29,32.7,30.3,5,0,0,1,Moderate,Use caution – moderate flow rates in effect
2.77,1.41,31.2,32.2,48,0.6,22.3,29.4,65,8,35.900000000000006,30.0,8,1,3,0,Moderate,Swimming not advised due to weather conditions
4.29,1.29,31.0,34.1,11,5.4,19.4,25.4,81,25,36.0,31.9,9,1,0,0,Moderate,Swimming not advised due to weather conditions
0.74,0.57,22.2,26.6,23,18.6,11.8,13.600000000000001,91,50,27.200000000000003,24.5,2,1,1,1,Safe,Conditions are safe for swimming
2.67,1.04,21.1,23.1,65,0.4,1.1,3.7,71,48,26.6,18.2,7,1,2,0,Danger,Do not swim – high turbidity detected
3.44,1.56,27.1,29.8,55,4.3,15.4,22.7,95,65,32.2,24.6,6,1,4,0,Moderate,Swimming not advised due to weather conditions
1.64,0.78,25.4,27.7,25,6.6,4.6,11.8,89,86,30.2,24.2,1,0,1,1,Safe,Conditions are safe for swimming
0.78,0.93,21.4,23.4,18,3.6,12.6,18.5,65,16,25.0,17.5,1,0,2,1,Safe,Conditions are safe for swimming
1.8,1.57,21.8,26.6,51,1.3,30.9,35.3,75,73,28.400000000000002,21.9,8,0,1,0,Moderate,Swimming not advised due to weather conditions
2.85,1.9,23.5,25.3,32,0.2,25.8,32.4,96,48,28.7,20.1,5,1,1,0,Danger,Swimming not advised due to weather conditions
0.64,1.97,21.7,22.9,30,0.2,4.3,8.8,64,32,24.9,20.7,9,1,4,0,Danger,Swimming not advised due to weather conditions
4.36,0.11,33.3,36.5,61,4.3,8.9,14.100000000000001,82,43,38.6,34.0,3,1,3,0,Danger,Do not swim – high turbidity detected
3.43,0.41,22.6,26.3,33,2.9,30.4,32.199999999999996,93,64,29.7,20.5,9,1,1,0,Moderate,Swimming not advised due to weather conditions
2.97,1.75,28.0,28.2,50,12.5,21.0,30.4,73,52,30.9,23.9,1,1,2,0,Moderate,Swimming not advised due to weather conditions
1.77,1.75,33.9,37.699999999999996,35,6.7,30.7,34.7,63,18,40.9,32.7,8,0,1,0,Moderate,Swimming not advised due to weather conditions
3.77,0.33,27.6,27.6,19,5.0,21.3,26.9,78,59,29.8,23.2,0,0,0,0,Moderate,Swimming not advised due to weather conditions
0.79,1.25,29.4,32.5,50,3.5,19.0,28.5,61,69,36.2,27.2,8,1,0,0,Moderate,Swimming not advised due to weather conditions
2.61,0.57,26.7,28.7,50,6.3,33.4,33.6,82,79,31.3,23.1,8,1,3,0,Moderate,Swimming not advised due to weather conditions
0.74,1.88,24.9,25.4,56,5.5,32.5,37.8,67,15,25.799999999999997,20.5,1,0,4,0,Danger,Swimming not advised due to weather conditions
3.79,1.09,21.7,26.0,43,3.7,24.8,25.900000000000002,95,83,27.9,20.8,0,1,0,0,Moderate,Swimming not advised due to weather conditions
3.03,1.91,28.4,32.5,13,7.9,22.6,24.3,67,23,33.9,29.6,4,1,0,0,Danger,Swimming not advised due to weather conditions
3.79,0.91,29.3,29.8,40,0.8,14.8,16.3,94,97,31.7,25.7,5,1,1,0,Moderate,Swimming not advised due to weather conditions
1.42,0.49,28.9,30.2,61,3.4,34.6,36.0,80,17,31.8,26.5,6,0,2,0,Danger,Do not swim – high turbidity detected
4.47,0.34,21.5,25.1,46,11.8,27.0,29.6,96,96,27.5,21.5,0,0,1,0,Moderate,Swimming not advised due to weather conditions
2.97,0.94,31.6,34.9,48,1.3,18.9,27.7,62,43,36.199999999999996,31.6,5,1,4,0,Moderate,Swimming not advised due to weather conditions
3.15,1.16,30.2,32.5,12,4.3,3.1,12.7,88,30,35.5,29.8,9,1,1,1,Safe,Conditions are safe for swimming
3.79,0.1,24.2,29.1,7,13.1,8.2,12.2,99,4,32.0,24.0,0,0,2,0,Moderate,Swimming not advised due to weather conditions
0.87,0.59,31.0,35.3,20,3.5,5.6,6.199999999999999,95,96,36.199999999999996,31.9,8,0,1,1,Safe,Conditions are safe for swimming
1.46,1.07,31.6,33.0,30,4.6,18.0,27.2,74,85,35.3,29.4,0,1,1,1,Safe,Conditions are safe for swimming
3.01,1.38,27.5,31.1,11,1.8,2.8,6.8,61,90,33.9,27.7,3,1,2,1,Moderate,Use caution – moderate flow rates in effect
3.79,0.35,32.1,36.7,18,0.7,31.4,39.7,62,98,38.300000000000004,34.1,4,1,0,0,Moderate,Swimming not advised due to weather conditions
0.6,0.36,33.5,36.2,36,0.7,20.8,30.200000000000003,79,17,37.300000000000004,30.8,10,1,2,1,Moderate,Conditions are safe for swimming
1.96,0.83,27.9,28.9,6,3.3,26.4,32.6,74,72,30.599999999999998,26.2,4,0,2,1,Safe,Conditions are safe for swimming
1.56,0.44,29.7,32.8,8,28.6,28.5,34.7,88,51,35.4,27.4,1,0,2,0,Moderate,Recent heavy rain – unsafe swimming conditions
2.12,1.34,25.0,27.6,18,1.0,13.5,23.1,61,61,29.5,25.5,4,1,2,1,Moderate,Use caution – moderate flow rates in effect
1.26,1.28,24.5,28.7,57,8.1,33.6,38.5,94,59,31.3,24.7,6,0,1,0,Moderate,Swimming not advised due to weather conditions
1.1,0.72,30.3,32.7,56,9.8,13.7,23.299999999999997,76,8,36.5,27.5,0,1,3,0,Moderate,Swimming not advised due to weather conditions
1.51,1.58,31.6,34.1,12,11.3,22.3,28.4,82,87,37.6,31.7,0,0,2,0,Moderate,Swimming not advised due to weather conditions
0.67,0.26,30.0,30.4,28,0.6,1.2,6.3,99,57,32.199999999999996,24.4,3,0,3,0,Moderate,Swimming not advised due to weather conditions
3.64,0.77,25.8,28.5,12,1.5,0.7,1.5,87,80,29.7,23.4,8,0,1,0,Moderate,Swimming not advised due to weather conditions
1.32,0.33,28.6,32.5,45,16.1,16.7,25.7,69,20,33.0,28.6,1,1,1,0,Moderate,Swimming not advised due to weather conditions
4.18,1.09,28.6,29.400000000000002,14,2.1,32.5,34.7,84,58,31.6,25.8,1,1,0,0,Moderate,Swimming not advised due to weather conditions
4.21,1.38,26.9,27.0,25,1.7,28.6,37.2,71,46,28.0,22.0,4,1,3,0,Moderate,Swimming not advised due to weather conditions
3.41,1.58,29.2,30.099999999999998,26,20.9,32.8,33.199999999999996,77,1,30.599999999999998,25.2,10,1,0,0,Moderate,Recent heavy rain – unsafe swimming conditions
2.52,1.7,30.3,33.0,65,6.8,21.4,22.5,82,28,33.4,28.7,8,1,1,0,Danger,Do not swim – high turbidity detected
1.14,1.16,31.4,35.1,7,24.0,3.5,7.5,93,88,37.300000000000004,30.2,6,0,0,0,Moderate,Recent heavy rain – unsafe swimming conditions
1.92,1.59,27.8,27.8,62,0.2,26.1,28.1,93,52,29.3,24.5,2,0,1,0,Danger,Do not swim – high turbidity detected
4.01,1.99,25.2,27.4,24,7.6,7.6,9.0,97,84,27.4,24.7,9,1,0,0,Danger,Swimming not advised due to weather conditions
1.23,0.84,25.6,30.0,18,6.4,3.6,5.9,63,23,32.7,24.8,2,0,2,1,Safe,Conditions are safe for swimming
1.1,1.42,30.4,35.3,35,8.7,18.2,21.9,89,54,38.199999999999996,32.4,3,0,1,1,Moderate,Use caution – moderate flow rates in effect
3.44,2.0,33.1,36.300000000000004,21,5.1,17.4,19.2,74,69,40.300000000000004,31.3,6,0,4,0,Danger,Swimming not advised due to weather conditions
1.31,1.17,33.7,34.5,55,14.1,9.1,13.399999999999999,64,92,36.3,30.6,4,1,3,0,Moderate,Swimming not advised due to weather conditions
3.32,1.3,20.7,25.2,39,2.9,25.5,33.2,90,83,27.8,19.4,7,1,0,1,Moderate,Use caution – moderate flow rates in effect
0.65,0.62,23.9,27.799999999999997,14,1.6,26.6,31.1,72,69,28.099999999999998,23.8,7,0,0,1,Safe,Conditions are safe for swimming
4.13,0.36,27.5,29.6,11,0.5,8.3,15.600000000000001,70,19,30.1,24.1,4,1,3,0,Moderate,Swimming not advised due to weather conditions
3.65,1.29,26.9,31.799999999999997,7,6.5,6.7,10.1,84,84,34.199999999999996,28.4,8,0,0,0,Moderate,Swimming not advised due to weather conditions
1.4,0.58,31.9,34.699999999999996,28,0.6,30.1,37.300000000000004,98,85,36.9,30.2,5,1,1,0,Moderate,Swimming not advised due to weather conditions
1.16,1.9,31.9,35.199999999999996,20,2.7,22.8,28.3,83,39,35.599999999999994,31.8,2,1,2,0,Danger,Swimming not advised due to weather conditions
2.49,0.75,32.2,34.900000000000006,19,1.1,30.7,39.5,87,13,35.900000000000006,31.1,9,1,2,0,Moderate,Swimming not advised due to weather conditions
0.61,0.22,26.5,31.0,46,3.4,3.7,10.3,84,49,31.4,27.2,10,1,0,0,Moderate,Swimming not advised due to weather conditions
0.88,0.78,30.6,32.0,59,5.1,6.9,15.9,77,41,33.8,27.8,1,0,2,0,Moderate,Swimming not advised due to weather conditions
1.95,1.8,22.4,24.9,5,0.2,12.7,20.0,96,3,28.099999999999998,19.0,2,1,0,0,Moderate,Swimming not advised due to weather conditions
3.46,0.71,33.8,36.199999999999996,25,6.5,11.3,21.3,90,58,36.8,34.1,8,0,1,1,Safe,Conditions are safe for swimming
3.38,1.79,21.1,24.8,65,2.1,10.4,19.6,65,82,27.8,18.8,1,0,2,0,Danger,Do not swim – high turbidity detected
1.76,0.58,31.5,35.9,34,1.0,24.9,33.2,92,84,37.6,30.3,2,0,0,1,Moderate,Conditions are safe for swimming
2.96,0.93,28.1,31.8,15,9.3,8.9,9.200000000000001,75,33,33.1,27.1,6,1,3,1,Safe,Conditions are safe for swimming
1.41,1.69,23.9,27.099999999999998,8,10.1,7.5,11.1,80,98,30.2,23.5,3,1,3,0,Moderate,Swimming not advised due to weather conditions
1.43,1.63,20.8,25.3,10,5.6,19.6,20.700000000000003,97,13,28.8,21.1,2,0,4,0,Moderate,Swimming not advised due to weather conditions
0.94,0.9,20.6,24.3,30,16.9,4.5,11.6,62,41,27.1,18.9,6,1,2,1,Safe,Conditions are safe for swimming
1.72,1.68,23.9,28.299999999999997,18,1.2,4.2,4.9,76,29,28.499999999999996,24.0,3,0,3,0,Moderate,Swimming not advised due to weather conditions
0.8,0.53,30.2,33.2,12,10.5,11.6,15.0,75,92,36.6,30.1,2,0,4,1,Safe,Conditions are safe for swimming
3.92,1.09,20.9,25.099999999999998,48,0.6,3.3,12.399999999999999,63,34,28.4,19.6,0,1,1,0,Moderate,Swimming not advised due to weather conditions
2.22,0.7,26.1,30.0,23,11.2,15.5,21.6,97,19,33.2,25.4,6,0,0,1,Safe,Conditions are safe for swimming
1.44,1.59,33.6,34.9,38,3.2,34.4,37.1,97,5,38.5,32.9,5,1,3,0,Moderate,Swimming not advised due to weather conditions
1.46,0.99,26.3,28.7,44,3.2,15.7,20.4,72,60,28.7,26.7,7,0,3,0,Moderate,Swimming not advised due to weather conditions
1.64,0.98,26.1,27.200000000000003,58,13.4,13.9,14.8,76,87,29.300000000000004,21.7,6,0,0,0,Moderate,Swimming not advised due to weather conditions
3.2,0.19,26.3,30.9,49,2.5,14.8,18.9,67,60,33.8,26.5,0,0,2,0,Moderate,Swimming not advised due to weather conditions
4.32,1.47,32.1,32.1,34,1.5,2.1,8.1,77,17,32.6,28.6,3,1,0,0,Moderate,Swimming not advised due to weather conditions
2.89,1.14,32.6,34.6,19,6.9,14.4,20.9,69,65,38.2,30.2,1,0,3,1,Safe,Conditions are safe for swimming
2.95,1.76,30.1,30.700000000000003,6,3.8,29.0,38.9,61,80,33.5,26.6,10,0,0,0,Moderate,Swimming not advised due to weather conditions
2.1,1.83,31.3,32.4,29,6.5,22.8,31.3,77,35,35.1,29.3,4,1,2,0,Danger,Swimming not advised due to weather conditions
2.29,1.62,31.5,35.8,45,2.8,11.2,17.0,95,32,37.9,31.8,4,0,0,0,Moderate,Swimming not advised due to weather conditions
4.06,0.76,22.2,22.3,64,2.4,0.2,4.1,86,10,23.5,17.6,4,1,1,0,Danger,Do not swim – high turbidity detected
1.37,1.98,26.4,29.799999999999997,54,3.3,1.0,6.1,70,44,31.299999999999997,27.6,5,0,1,0,Danger,Swimming not advised due to weather conditions
1.14,0.14,30.6,32.9,34,0.7,29.2,32.9,96,34,36.5,28.5,8,0,0,1,Moderate,Conditions are safe for swimming
2.93,0.39,20.4,25.299999999999997,26,3.9,5.4,10.9,93,85,26.299999999999997,19.9,2,1,3,1,Safe,Conditions are safe for swimming
3.34,0.44,27.1,30.5,25,17.0,19.5,23.0,87,62,31.1,26.7,1,0,0,1,Safe,Conditions are safe for swimming
3.63,1.5,24.2,25.8,28,4.8,7.0,11.0,87,4,27.7,21.6,2,0,4,0,Moderate,Swimming not advised due to weather conditions
4.14,1.47,27.5,31.8,25,6.8,19.2,19.8,79,40,35.3,26.0,0,0,1,0,Moderate,Swimming not advised due to weather conditions
4.42,1.02,32.1,35.0,37,4.1,15.4,21.5,76,50,38.6,31.2,2,0,2,0,Moderate,Swimming not advised due to weather conditions
2.79,1.92,22.8,23.3,49,2.9,29.6,38.5,78,62,26.8,19.5,6,1,2,0,Danger,Swimming not advised due to weather conditions
4.22,0.16,32.2,34.800000000000004,68,1.8,12.6,20.6,83,34,35.6,29.0,2,0,0,0,Danger,Do not swim – high turbidity detected
4.48,0.27,20.0,20.2,40,9.0,25.9,27.299999999999997,99,7,23.3,15.6,0,1,2,0,Moderate,Swimming not advised due to weather conditions
0.92,0.86,30.1,31.5,8,2.6,2.3,5.8,62,13,34.7,25.7,1,0,4,1,Safe,Conditions are safe for swimming
2.59,0.67,21.1,23.6,20,3.3,5.1,12.2,90,33,24.700000000000003,18.4,7,1,0,1,Safe,Conditions are safe for swimming
0.59,1.21,31.8,34.5,34,19.3,21.1,24.700000000000003,84,85,35.3,29.6,9,1,3,1,Moderate,Use caution – moderate flow rates in effect
2.72,1.31,27.4,29.7,57,8.1,19.3,24.5,72,58,32.8,26.6,6,0,0,0,Moderate,Swimming not advised due to weather conditions
1.04,1.3,20.8,24.5,61,0.0,17.9,18.4,91,85,27.3,22.2,1,1,0,0,Danger,Do not swim – high turbidity detected
1.49,1.51,24.4,24.9,69,0.7,19.8,28.5,63,99,28.5,19.1,2,0,1,0,Danger,Do not swim – high turbidity detected
